gw,player_id,player_name,position,opponent_difficulty,expected_points
9,430,Erling Haaland,UNK,4.0,2.4946721970742196
9,470,Martin Dúbravka,UNK,2.0,1.7563672683922351
9,241,Moisés Caicedo Corozo,UNK,3.0,1.7550277304044422
9,575,Micky van de Ven,UNK,3.0,1.638946520577354
9,666,Viktor Gyökeres,UNK,5.0,1.2953555826687964
9,5,Gabriel dos Santos Magalhães,UNK,5.0,1.2579717710478295
9,82,Antoine Semenyo,UNK,4.0,1.2209277953071096
9,38,Ezri Konsa Ngoyo,UNK,3.0,1.1284696028922836
9,16,Bukayo Saka,UNK,5.0,1.1181211740927635
9,449,Bruno Borges Fernandes,UNK,3.0,0.746854872305435
9,507,Ola Aina,UNK,2.0,0.049387941752038075
9,430,Erling Haaland,UNK,4.0,2.4946721970742196
9,470,Martin Dúbravka,UNK,2.0,1.7563672683922351
9,241,Moisés Caicedo Corozo,UNK,3.0,1.7550277304044422
9,575,Micky van de Ven,UNK,3.0,1.638946520577354
9,666,Viktor Gyökeres,UNK,5.0,1.2953555826687964
9,5,Gabriel dos Santos Magalhães,UNK,5.0,1.2579717710478295
9,82,Antoine Semenyo,UNK,4.0,1.2209277953071096
9,38,Ezri Konsa Ngoyo,UNK,3.0,1.1284696028922836
9,16,Bukayo Saka,UNK,5.0,1.1181211740927635
9,449,Bruno Borges Fernandes,UNK,3.0,0.746854872305435
9,507,Ola Aina,UNK,2.0,0.049387941752038075
